name,address,city,locality,latitude,longitude,rent,bedrooms,area_sqft,property_type,amenities
Sunshine Residency,"12 MG Road, Baner",Pune,Baner,18.5590,73.7868,18000,2,850,apartment,"parking|gym|lift"
Green Valley Apartments,"45 Aundh-Baner Road",Pune,Aundh,18.5580,73.8080,22000,3,1100,apartment,"parking|gym|swimming_pool|lift"
Prestige Heights,"78 FC Road, Kothrud",Pune,Kothrud,18.5074,73.8077,15000,2,750,apartment,"parking|lift"
Sai Krupa Society,"23 Pimpri Road, Wakad",Pune,Wakad,18.5990,73.7609,12000,1,550,apartment,"parking"
Mahalaxmi Residency,"90 Hinjewadi Phase 1",Pune,Hinjewadi,18.5912,73.7389,16000,2,900,apartment,"parking|gym|lift"
Orchid Towers,"34 Baner-Pashan Link Road",Pune,Baner,18.5620,73.7850,25000,3,1250,apartment,"parking|gym|swimming_pool|clubhouse|lift"
Kohinoor Greenz,"12 Satara Road, Kothrud",Pune,Kothrud,18.5050,73.8100,17000,2,800,apartment,"parking|garden|lift"
Life Republic Phase 2,"56 Hinjewadi Phase 2",Pune,Hinjewadi,18.5950,73.7350,19000,3,1050,apartment,"parking|gym|swimming_pool|lift"
Meghwadi Corner,"11 Wakad-Pimpri Road",Pune,Wakad,18.6010,73.7620,11000,1,500,apartment,"parking"
Aundh Elite Homes,"88 Aundh Ravet Road",Pune,Aundh,18.5600,73.8150,20000,2,950,apartment,"parking|gym|lift"
Vishwa Griha,"3 Baner Road near BRT",Pune,Baner,18.5575,73.7880,14500,2,700,apartment,"parking|lift"
Suman Saurabh,"45 Kothrud Karve Road",Pune,Kothrud,18.5100,73.8050,28000,3,1400,apartment,"parking|gym|swimming_pool|clubhouse|garden|lift"
NHorphaven Phase 3,"67 Hinjewadi Phase 3",Pune,Hinjewadi,18.5980,73.7300,21000,3,1150,apartment,"parking|gym|lift"
Kamble Residency,"15 Wakad Maan Road",Pune,Wakad,18.6020,73.7580,13000,2,650,apartment,"parking"
Prakruti Heights,"22 Aundh Balewadi Road",Pune,Aundh,18.5650,73.8120,23000,3,1200,apartment,"parking|gym|swimming_pool|lift"
Ashiana Housing,"5 Andheri Kurla Road",Mumbai,Andheri,19.1136,72.8697,35000,2,900,apartment,"parking|gym|swimming_pool|lift"
Lodha Casa Valencia,"12 Powai Vidyavihar",Mumbai,Powai,19.1186,72.9280,45000,3,1200,apartment,"parking|gym|swimming_pool|clubhouse|lift"
Hiranandani Gardens Tower,"34 Powai Lake Road",Mumbai,Powai,19.1250,72.9260,65000,3,1600,apartment,"parking|gym|swimming_pool|clubhouse|garden|security|lift"
DLH Enclave,"78 Thane West Ghodbunder",Mumbai,Thane,19.2184,72.9580,28000,2,950,apartment,"parking|gym|lift"
Runwal Heights,"23 Thane East Wagle",Mumbai,Thane,19.1880,72.9750,30000,3,1100,apartment,"parking|gym|lift"
Paradigm Shift,"45 Andheri West Lokhandwala",Mumbai,Andheri,19.1300,72.8200,40000,2,1000,apartment,"parking|gym|swimming_pool|lift"
Tesseract Ville,"9 Goregaon East Magathane",Mumbai,Goregaon,19.1660,72.8520,32000,2,850,apartment,"parking|gym|lift"
Sobha Dream Acres,"67 Powai Hiranandani",Mumbai,Powai,19.1200,72.9300,50000,3,1350,apartment,"parking|gym|swimming_pool|clubhouse|garden|lift"
Raheja Heights,"14 Andheri East MIDC",Mumbai,Andheri,19.1200,72.8800,33000,2,800,apartment,"parking|lift"
Rustomjee Summit,"89 Thane West Kolshet",Mumbai,Thane,19.2250,72.9500,26000,2,900,apartment,"parking|gym|lift"
Adhiraj Capital City,"34 Malad East Meghwadi",Mumbai,Malad,19.1870,72.8480,38000,3,1100,apartment,"parking|gym|swimming_pool|lift"
Western Heights,"56 Andheri West Seven Bungalows",Mumbai,Andheri,19.1350,72.8150,42000,3,1200,apartment,"parking|gym|swimming_pool|clubhouse|lift"
Kanakia Chrome,"23 BKC Bandra East",Mumbai,Bandra,19.0544,72.8660,75000,3,1800,apartment,"parking|gym|swimming_pool|clubhouse|garden|security|concierge|lift"
Indiabulls Blu,"67 Lower Parel Senapati Bapat",Mumbai,Lower Parel,19.0130,72.8590,55000,2,1100,apartment,"parking|gym|swimming_pool|clubhouse|lift"
Oberoi Realty Forestville,"12 Goregaon West Pahadi",Mumbai,Goregaon,19.1700,72.8350,48000,3,1400,apartment,"parking|gym|swimming_pool|clubhouse|garden|lift"
Kalptaru Antares,"34 Mulund West Nahur",Mumbai,Mulund,19.1720,72.9570,25000,2,800,apartment,"parking|gym|lift"
Nathistics Heights,"78 Kalyan West",Mumbai,Kalyan,19.2437,73.1304,15000,2,750,apartment,"parking"
Vrindavan Society,"23 Dombivli East",Mumbai,Dombivli,19.2130,73.0870,14000,2,700,apartment,"parking|garden"
Shanti Sagar CHS,"5 Vasai East Tulinj",Mumbai,Vasai,19.3600,72.8300,11000,1,550,apartment,"parking"
Balaji Symphony,"45 Borivali West IC Colony",Mumbai,Borivali,19.2300,72.8540,30000,2,900,apartment,"parking|gym|lift"
Sai Kripa Residency,"89 Thane West Manpada",Mumbai,Thane,19.2100,72.9650,27000,2,850,apartment,"parking|gym|lift"
Piramal Aranya,"12 Byculla East",Mumbai,Byculla,18.9790,72.8370,90000,4,2200,apartment,"parking|gym|swimming_pool|clubhouse|garden|spa|security|concierge|lift"
Raheja Vivarea,"34 Mahalaxmi Race Course",Mumbai,Mahalaxmi,18.9820,72.8280,120000,4,2800,apartment,"parking|gym|swimming_pool|clubhouse|garden|spa|security|concierge|lift"
Lodha The Park Tower A,"56 Worli Sea Face",Mumbai,Worli,18.9900,72.8160,85000,3,2000,apartment,"parking|gym|swimming_pool|clubhouse|garden|security|lift"
Lodha The Park Tower B,"58 Worli Sea Face",Mumbai,Worli,18.9905,72.8165,88000,3,2100,apartment,"parking|gym|swimming_pool|clubhouse|garden|security|lift"
Oberoi 360 West,"23 Goregaon West",Mumbai,Goregaon,19.1720,72.8380,52000,3,1500,apartment,"parking|gym|swimming_pool|clubhouse|garden|lift"
